timestamp,building,energy_kwh,temperature_c,occupancy,ac_units,equipment_count,day_of_week,hour
2026-01-01 00:00:00,Academic Block,17.14,20.37,5,6,20,3,0
2026-01-01 00:00:00,Computer Lab,17.08,20.9,4,5,45,3,0
2026-01-01 00:00:00,Library,8.67,17.66,5,3,15,3,0
2026-01-01 00:00:00,Hostel A,18.48,20.15,35,8,10,3,0
2026-01-01 01:00:00,Academic Block,17.42,20.15,5,6,20,3,1
2026-01-01 01:00:00,Computer Lab,16.84,21.23,4,5,45,3,1
2026-01-01 01:00:00,Library,12.32,20.25,5,3,15,3,1
2026-01-01 01:00:00,Hostel A,17.66,20.73,35,8,10,3,1
2026-01-01 02:00:00,Academic Block,17.26,21.11,5,6,20,3,2
2026-01-01 02:00:00,Computer Lab,15.6,21.72,4,5,45,3,2
2026-01-01 02:00:00,Library,9.6,20.45,5,3,15,3,2
2026-01-01 02:00:00,Hostel A,18.72,22.14,35,8,10,3,2
2026-01-01 03:00:00,Academic Block,18.17,20.95,5,6,20,3,3
2026-01-01 03:00:00,Computer Lab,16.22,22.1,4,5,45,3,3
2026-01-01 03:00:00,Library,11.27,21.96,5,3,15,3,3
2026-01-01 03:00:00,Hostel A,18.34,24.03,35,8,10,3,3
2026-01-01 04:00:00,Academic Block,17.48,21.89,5,6,20,3,4
2026-01-01 04:00:00,Computer Lab,17.36,23.24,4,5,45,3,4
2026-01-01 04:00:00,Library,9.36,22.36,5,3,15,3,4
2026-01-01 04:00:00,Hostel A,19.93,21.51,35,8,10,3,4
2026-01-01 05:00:00,Academic Block,19.51,24.6,5,6,20,3,5
2026-01-01 05:00:00,Computer Lab,16.02,22.91,4,5,45,3,5
2026-01-01 05:00:00,Library,10.95,23.85,5,3,15,3,5
2026-01-01 05:00:00,Hostel A,19.29,24.75,35,8,10,3,5
2026-01-01 06:00:00,Academic Block,18.8,25.81,5,6,20,3,6
2026-01-01 06:00:00,Computer Lab,16.62,25.35,4,5,45,3,6
2026-01-01 06:00:00,Library,10.15,23.25,5,3,15,3,6
2026-01-01 06:00:00,Hostel A,21.59,24.44,80,8,10,3,6
2026-01-01 07:00:00,Academic Block,20.94,25.96,5,6,20,3,7
2026-01-01 07:00:00,Computer Lab,17.12,25.26,4,5,45,3,7
2026-01-01 07:00:00,Library,10.12,24.27,5,3,15,3,7
2026-01-01 07:00:00,Hostel A,24.11,26.49,80,8,10,3,7
2026-01-01 08:00:00,Academic Block,29.23,28.35,45,6,20,3,8
2026-01-01 08:00:00,Computer Lab,16.63,27.08,4,5,45,3,8
2026-01-01 08:00:00,Library,15.49,28.53,5,3,15,3,8
2026-01-01 08:00:00,Hostel A,20.85,25.97,80,8,10,3,8
2026-01-01 09:00:00,Academic Block,25.56,27.43,45,6,20,3,9
2026-01-01 09:00:00,Computer Lab,26.36,28.71,40,5,45,3,9
2026-01-01 09:00:00,Library,16.37,28.02,25,3,15,3,9
2026-01-01 09:00:00,Hostel A,29.49,29.29,35,8,10,3,9
2026-01-01 10:00:00,Academic Block,32.38,29.88,45,6,20,3,10
2026-01-01 10:00:00,Computer Lab,25.34,28.89,40,5,45,3,10
2026-01-01 10:00:00,Library,16.55,27.9,25,3,15,3,10
2026-01-01 10:00:00,Hostel A,27.79,28.77,35,8,10,3,10
2026-01-01 11:00:00,Academic Block,35.89,30.41,45,6,20,3,11
2026-01-01 11:00:00,Computer Lab,31.23,30.63,40,5,45,3,11
2026-01-01 11:00:00,Library,19.19,29.32,25,3,15,3,11
2026-01-01 11:00:00,Hostel A,21.56,27.8,35,8,10,3,11
2026-01-01 12:00:00,Academic Block,26.75,28.41,45,6,20,3,12
2026-01-01 12:00:00,Computer Lab,29.55,30.48,40,5,45,3,12
2026-01-01 12:00:00,Library,21.81,29.55,25,3,15,3,12
2026-01-01 12:00:00,Hostel A,32.26,29.57,35,8,10,3,12
2026-01-01 13:00:00,Academic Block,28.97,28.71,45,6,20,3,13
2026-01-01 13:00:00,Computer Lab,24.76,28.69,40,5,45,3,13
2026-01-01 13:00:00,Library,20.44,30.84,25,3,15,3,13
2026-01-01 13:00:00,Hostel A,34.78,30.35,35,8,10,3,13
2026-01-01 14:00:00,Academic Block,26.79,28.62,45,6,20,3,14
2026-01-01 14:00:00,Computer Lab,26.77,29.42,40,5,45,3,14
2026-01-01 14:00:00,Library,20.05,29.61,25,3,15,3,14
